Media ,School,City,State
The Paw Print,Colts Neck High School,Colts Neck,New Jersey
The Ink Blot,Communications High School,Wall,New Jersey
Dialogue ,Cranford High School,Cranford,New Jersey
The Communiqué,Cresskill High School,Cresskill,New Jersey
The Delphi,Delaware Valley Regional High School,Frenchtown,New Jersey
Changing Perspectives,Delaware Valley Regional High School,Frenchtown,New Jersey
The Courier,Delbarton School,Morristown,New Jersey
The Maroon Tribune,Dwight Morrow High School/Academies,Englewood,New Jersey
EBHS Bear Hub,East Brunswick High School,East Brunswick,New Jersey
The Voyager,Eastern Regional High School,Voorhees,New Jersey
The Eagle's Eye,Edison High School,Edison,New Jersey
The Cavalier,Emerson Junior - Senior High School,Emerson,New Jersey
Ewing's Voice,Ewing High School,Ewing,New Jersey
The Falcon's Nest,Fords Middle School,Fords,New Jersey
Freehold Boro Publications,Freehold High School,Freehold,New Jersey
Patriot Press,Freehold Township High School,Freehold,New Jersey
Falcon Press,Frelinghuysen Middle School,Morristown,New Jersey
The Chomp,Gateway Regional High School,Woodbury Heights,New Jersey
GW Times,George Washington Middle School,Wayne,New Jersey
The Journalist,Glen Ridge High School,Glen Ridge,New Jersey
The Glen Echo,Glen Rock High School,Glen Rock,New Jersey
The Bulldawg Bulletin,Haddonfield Memorial High School,Haddonfield,New Jersey
The Devils' Advocate,Hammonton High School,Hammonton,New Jersey
HMS Press,Hammonton Middle School,Hammonton,New Jersey
The Clarion,Hawthorne High School,Hawthorne,New Jersey
Cat's Eye View,Henry P. Becton Regional High School,East Rutherford,New Jersey
The Ram Page,Hightstown High School,Hightstown,New Jersey
The Voice,Hillsborough Township High School,Hillsborough,New Jersey
The Bulldog Reporter,Hopewell Valley Central High School,Pennington,New Jersey
The Lamp Online,Hunterdon Central Regional High School,Flemingtn,New Jersey
Infinity Institute News,Infinity Institute,Jersey City,New Jersey
The Caldron,James Caldwell High School,West Caldwell ,New Jersey
The Torch,John F. Kennedy Memorial High School,Iseline,New Jersey
The Hawkeye,John P. Stevens High School,Edison,New Jersey
The Kearnian,Kearny High School,Kearny,New Jersey
The Flame,Kingsway Regional High School,Woolwich,New Jersey
Colt Chronicle,Kinnelon High School,Kinnelon,New Jersey
The Lancer Ledger,Lakeland Regional High School,Wanaque,New Jersey
Smoke Signal,Lenape High School,Medford,New Jersey
The Leonian,Leonia High School,Leonia,New Jersey
LMS Digital News,Lincoln Middle School,Kearny,New Jersey
The Lodi Rampage,Lodi High School,Lodi,New Jersey
Falcon Flyer,Manchester Regional High School,Haledon,New Jersey
The Talon,Manchester Township High School,Manchester,New Jersey
Hoofprints,Manville High School,Manville,New Jersey
Hitching Post and Kaleidoscope ,Marlboro High School,Marlboro,New Jersey
The Lion's Roar,Middletown High School North,Middletown,New Jersey
The Eagle Eye,Middletown High School South,Middletown,New Jersey
The Mountaineer,Montclair High School,Montclair,New Jersey
The Phoenix,Montclair High School,Montclair,New Jersey
The Hilltopper,Morris Hills High School,Rockaway,New Jersey
The Quill,Morris Knolls High School,Denville,New Jersey
The Crimson Sun,Morristown-Beard School,Morristown,New Jersey
The Argosy ,Mount St. Dominic Academy,Caldwell,New Jersey
The Vector,New Jersey Institute of Technology,Newark,New Jersey
The Providential,New Providence High School,New Providence,New Jersey
The Viking Saga,North Arlington High School,North Arlington,New Jersey
The Northern Star,Northern Valley Regional High School,Demarest,New Jersey
The Lance,Northern Valley Regional High School,Old Tappan,New Jersey
The Spartan Times,Ocean Township Intermediate School,Ocean Township,New Jersey
The Omega,Oratory Prep,Summit,New Jersey
Ram Pages,Overbrook High School,Voorhees,New Jersey
The All-Knowing Owl,Park Ridge High School,Park Ridge,New Jersey
The Trailblazer,Pascack Hills High School,Montvale,New Jersey
The Smoke Signal,Pascack Valley High School,Hillsdale,New Jersey
The Science Star,Passaic Academy for Science and Engineering,Passaic,New Jersey
The Hilltop Online,Passaic High School,Passaic,New Jersey
The Boulevard Online,Passaic Preparatory Academy,Passaic,New Jersey
The Villano View,Patrick M. Villano School,Emerson,New Jersey
The Peddie News,Peddie School,Cranbury,New Jersey
The Chieftain,Piscataway High School,Piscataway,New Jersey
The Point Press,Point Pleasant High School,Point Pleasant,New Jersey
The Spokesman,Princeton Day School,Princeton,New Jersey
Rampage,Ramapo High School,Franklin Lakes,New Jersey
The Holly Spirit,Rancocas Valley Regional High School,Mt. Holly,New Jersey
Rampage Online,Randolph High School,Randolph,New Jersey
The Devil's Advocate,Ridge High School,Basking Ridge,New Jersey
The RunDown,River Dell Regional High School,Oradell,New Jersey
The Rough Rider,Roosevelt Intermediate School,Westfield,New Jersey
Roxbury Review,Roxbury High School,Succasunna,New Jersey
Lancer's Point,Saint John Vianney High School,Holmdel,New Jersey
The Petroc,Saint Peter's Prep,Jersey City,New Jersey
Echo Lites,Sayreville War Memorial high school,Parlin,New Jersey
The Fanscotian,Scotch Plains-Fanwood High School,Scotch Plains,New Jersey
The Pirate,Seton Hall Prep,West Orange,New Jersey
The Renegade Report,Shawnee High School,Medford,New Jersey
The Beacon ,Shore Regional High School,West Long Branch,New Jersey
The Benedict News,St. Benedict's Preparatory School,Newark,New Jersey
The Tartan,Stuart Country Day School,Princeton,New Jersey
The Highway Herald,Teaneck High School,Teaneck,New Jersey
The Echo,Tenafly High School,Tenafly,New Jersey
The Mall,The Hun School of Princeton,Princeton,New Jersey
Edison Insider,Thomas Alva Edison Intermediate School,Westfield,New Jersey
The TJ Times,Thomas Jefferson Middle School,Rockaway ,New Jersey
The Prophet,Union Catholic High School,Scotch Plains,New Jersey
The Student Voice,University Academy Charter High School,Jersey City,New Jersey
The Fairviewer,Verona High School,Verona,New Jersey
The Streak,Warren Hills Regional High School,Washington,New Jersey
The Patriot,Washington Township High School,Sewell,New Jersey
The Patriot Press ,Wayne Hills High School,Wayne,New Jersey
Smoke Signals,Wayne Valley High School,Wayne,New Jersey
The Wessex Wire,West Essex Regional High School,North Caldwell,New Jersey
The Highland Echo,West Milford Township High School,West Milford,New Jersey
Paw Print,West Morris Central High School,Chester,New Jersey
The Patriot,West Morris Mendham High School,Mendham,New Jersey
Visions Magazine ,West Morris Mendham High School,Mendham,New Jersey
The Pioneer,West Orange High School,West Orange,New Jersey
The Pirate's Eye,West Windsor-Plainsboro High School South,West Windsor,New Jersey
Hi's Eye,Westfield High School,Westfield,New Jersey
Cardinal Chronicle,Westwood Regional Jr./Sr. High School,Township of Washington,New Jersey
Wildcats Roar,Whippany Park High School,Whippany,New Jersey
The Aquila,Winslow Township High School,Atco,New Jersey
The Soaring Eagle,Winslow Township Middle School,Atco,New Jersey
The Barron Perspective,Woodbridge High School,Woodbridge,New Jersey
The Warrior Messenger,Woodbridge Middle School,Woodbridge,New Jersey
The Advocate,Albuquerque Academy,Albuquerque,New Mexico
The Golden Word,Cibola High School,Albuquerque,New Mexico
The Eagle Vision ,Crownpoint High School,Crownpoint,New Mexico
The Demon Tattler,Santa Fe High School - NM,Santa Fe,New Mexico
Panther Post,A-Tech High School,Brooklyn,New York
The Writers Weekly,Academy for Young Writers,Brooklyn,New York
The Academy Gazette,Academy of American Studies,Long Island City,New York
The Nest,Albany High School,Albany,New York
WACS News,Alden Central High School,Alden,New York
Amani Universe,Amani Public Charter School,Pelham,New York
The Amityville Echo,Amityville Memorial High School,Amityville,New York
Panther Tales,Babylon Junior-Senior High School,Babylon,New York
The Baccrag,Baccalaureate School for Global Education,Astoria,New York
goldenwave,Baldwin High School,Baldwin,New York
The Ticker,Baruch,New York,New York
411 Press,Baruch College Campus High School,New York,New York
The Grizzly,BASIS Independent Brooklyn,Brooklyn,New York
Maroon Echo,Bay Shore High School,Bay Shore,New York
The Belfast Beacon,Belfast Central School,Belfast,New York
The Berkeley Carroll Blotter ,Berkeley Carroll School,Brooklyn,New York
The Eagle's Cry,Bethpage High School,Bethpage,New York
The Sentinel,Bolivar Richburg High School,Bolivar,New York
Pow Wow News,Brentwood High School,Brentwood,New York
Bear Facts,Brewster High School,Brewster,New York
Bronx River News,Bronx River High School,Bronx,New York
The Survey,Brooklyn Technical High School,Brooklyn,New York
Daily Dose of CIS,Careers,Sports High School in Bronx,New York
Crossroads / Path,Carle Place High School,Carle Place,New York
The Rapier,Central Islip High School,Central Islip,New York
Colonial Times,Colonial School,Pelham,New York
The Courant,Commack High School,Commack,New York
Curtis Log,Curtis High School,Staten Island,New York
C.L.E.A.R. Voices,Eagle Academy,Bronx,New York
The Broadcaster,East Islip High School,Islip Terrace,New York
The Gull ,East Rockaway High School,East Rockaway,New York
The Buzz,Fayetteville-Manlius High School,Manlius,New York
The Shield,Floral Park Memorial High School,Floral Park,New York
The Beacon,Forest Hills High School,Forest Hills,New York
The Pilot,Fort Hamilton High School,Brooklyn,New York
FLHS News,Francis Lewis High School,Fresh Meadows,New York
The New Dealer,Franklin Delano Roosevelt High School,Brooklyn,New York
Inkwell,Friends Academy,Locust Valley,New York
The Insight,Friends Seminary,New York,New York
Eagles Media Center,Galway Central School,Galway,New York
The Paw Print,Gouverneur High School,Gouverneur,New York
Guide Post,Great Neck North High School,Great Neck,New York
The Southerner,Great Neck South High School,Great Neck,New York
Cleveland Chronicles,Grover Cleveland High School,Ridgewood,New York
The Dial,Hackley School,Tarrytown,New York
The Tide,Hampton Bays High School,Hampton Bays,New York
The Husky Herald ,Harrison High School,Harrison,New York
The Buzzer,Hastings High School,Hastings-on-Hudson ,New York
HPS Soaring Eagle,Hauppauge High School,Hauppauge,New York
HANC Herald,Hebrew Academy Of Nassau County High School,Uniondale,New York
The Anchor,Hendrick Hudson,Montrose,New York
The H.E.R.O's Journey ,Hero High School,Bronx ,New York
Helios,Heschel School,New York,New York
The Echo,"High School for Mathematics, Science and Engineering",New York,New York
Hoosac School Owlet,Hoosac School,Hoosick,New York
The Greeley Moderne ,Horace Greeley High School,Chappaqua,New York
The Record,Horace Mann School,NY,New York
The Dispatch,Huntington High School,Huntington,New York
Hutchinson Bear,Hutchinson School,Pelham,New York
IHPCH Voices,Institute for Health Professions @ Cambria Heights,Cambria Heights,New York
The Bulldog,Island Trees High School,Levittown,New York
The Dragon's Den,John Dewey High School,Brooklyn,New York
The Kappa Chronicle,KAPPA International High School,Bronx,New York
The Leaders Post,Leaders High School,Brooklyn,New York
LEAD News,Leadership and Public Service High School,New York ,New York
The Liberty Bell,Liberty High School Academy for Newcomers,New York,New York
The Charles Street Times,Lindenhurst High School,Lindenhurst,New York
Horizon,Lynbrook High School,Lynbrook,New York
The Globe,Mamaroneck High School,Mamaroneck,New York
Indian Ink,Manhasset High School,Manhasset,New York
The Chief,Massapequa High School,Massapequa,New York
The Lance,McQuaid Jesuit,Rochester,New York
The Shield,McQuaid Jesuit High School,Rochester,New York
The Phoenix,Millennium Brooklyn High School,BROOKLYN,New York
The MHS Phoenix,Millennium High School,New York,New York
The Wire,Monroe-Woodbury High School,Central Valley,New York
The Sentinel,Monsignor McClancy Memorial High School,East Elmhurst,New York
The Knight Times,Nanuet High School,Nanuet,New York
Spartan Expressions,New Hartford High School,New Hartford,New York
The Chariot,New Hyde Park Memorial High School,New Hyde Park,New York
The Spectator,Nightingale-Bamford School,New York,New York
The Viking Voice ,North Shore Middle School,Glen Head ,New York
The Port Press,Northport High School,Northport,New York
The iNews Network,NYC iSchool,New York,New York
The Gallery,NYC Museum School,Manhattan,New York
The Orchard Park Voice,Orchard Park High School,Orchard Park,New York
The Current,Ossining High School,Ossining,New York
The Pacer,Pace High School,New York,New York
The Red & Black,Patchogue-Medford High School,Medford,New York
ptechheights.org,Pathways,Technology Early College High School in Brooklyn,New York
The Schreiber Times,Paul D. Schreiber High School,Port Washington,New York
Peekskill Herald,Peekskill Herald,Peekskill,New York
Mercury,Peekskill High School,Peekskill,New York
Pelham Examiner,Pelham Examiner,Pelham,New York
The Pel Mel,Pelham Memorial High School,Pelham,New York
The Pelham Post,Pelham Middle School,Pelham,New York
Polygon,Poly Prep Country Day School,Brooklyn,New York
The Crow's Nest,Port Richmond High School,Staten Island,New York
QPA Lit,Queens Preparatory Academy,Springfield Gardens,New York
QSInquirer,Queens School of Inquiry,Freeport,New York
Rampage,Ramaz Upper School,New York,New York
Rhinebeck Reality,Rhinebeck High School,Rhinebeck,New York
The Comet Chronicle,Rush-Henrietta Senior High School,Henrietta,New York
Scientific Scarsdalian,Scarsdale High School,Scarsdale,New York
Maroon,Scarsdale High School,Scarsdale ,New York
The Phoenix,Schenectady High School,Schenectady,New York
The Voice of the Saints,Seton Catholic Central,Binghamton,New York
The Shaker Bison,Shaker High School,Latham,New York
The Shen Pen ,Shenendehowa High School,Clifton Park,New York
The Wildcat Pause,Shoreham-Wading River High School,Shoreham,New York
The Matador,Smithtown High School East,Saint James,New York
The Bull's Eye ,Smithtown High School West,Smithtown,New York
The Record,SUNY Buffalo State,Buffalo,New York
The Academy Road,The Albany Academies,Albany,New York
Observatory / Science Survey,The Bronx High School of Science,Bronx,New York
TCA Heights,The College Academy,New York ,New York
The Hive,The High School of Telecommunication Arts & Technology,Brooklyn,New York
JSK News,The Judith S. Kaye School,Queens,New York
The Eagle Express,The Laboratory School of Finance and Technology,Bronx,New York
Tower,The Masters School,Dobbs Ferry,New York
Birdseye View,The Secondary School for Journalism,Brooklyn,New York
Raven Mail,The Urban Assembly Bronx Academy of Letters,New York,New York
The UAM Hub,The Urban Assembly for Media Studies,New York City,New York
The Villager,The Village School,Great Neck,New York
The Classic,Townsend Harris High School,Flushing,New York
The Starling Press,Townsend Harris High School,Flushing,New York
The Challenger,Troy High School,Troy,New York
The Unisverse,United Nations International School,New York,New York
The Knightly Reader,Veritas Academy,Flushing ,New York
Bear Facts,Vestal High School,Vestal,New York
The Victor Voice,Victor Senior High School,Victor,New York
The Paw Print,Walt Whitman High School,Huntington Station,New York
The Warrior,Wantagh High School,Wantagh,New York
Smoke Signals,Wantagh Middle School,Wantagh,New York
Kaleidoscope,Ward Melville High School,Setauket,New York
The Buccaneer,WC Mepham High School,Bellmore,New York
Webster Schroeder Courier,Webster Schroeder High School,Webster ,New York
Webster Thomas Courier,Webster Thomas High School,Webster,New York
The Johnny Green,Weedsport CSD,Weedsport,New York
WESS Side Stories,West End Secondary School,New York City,New York
The Herald,Westbury High School,Old Westbury,New York
The Hurricane Eye,Westhampton Beach High School,Westhampton Beach,New York
The Bryant Observer,William Cullen Bryant High School,Astoria,New York
WP News,Williamsburg Preparatory School,Brooklyn,New York
The Jet Express,Woodland Middle School,East Meadow,New York
The Voice,Yorktown High School,Yorktown Heights,New York
Athens Oracle,Athens Drive High School,Raleigh,North Carolina
The Hi-Times,Broughton High School,Raleigh,North Carolina
Gibbons Newspaper,Cardinal Gibbons High School,Raleigh,North Carolina
CCS News,Carmel Christian School,Matthews,North Carolina
The Hawk Eye,Charlotte Latin School,Charlotte,North Carolina
CSD Spartan Media,Community School of Davidson,Davidson,North Carolina
The Eagle,East Mecklenburg High School,Charlotte,North Carolina
Enloe Eagle's Eye,Enloe Magnet High School,Raleigh,North Carolina
RedOnline,Franklin High School,Franklin,North Carolina
Roaring Bengals,Fuquay-Varina High School,Fuquay-Varina,North Carolina
Falcon News Feed,Green Hope High School,Cary,North Carolina
The Green Hope Falcon,Green Hope High School,Cary,North Carolina
The Gator's Eye,Green Level High School,Cary,North Carolina
Yellow Jacket Yearbook,Hayesville High School,Hayesville,North Carolina
The Hillside Chronicle,Hillside High School,Durham,North Carolina
Cat Talk ,Millbrook High School,Raleigh,North Carolina
North Buncombe Now,North Buncombe High School,Weaverville,North Carolina
Pages By Page,Page High School,Greensboro,North Carolina
PCNN,Panther Creek High School,Cary,North Carolina
Pine Whispers,RJ Reynolds High School,Winston Salem,North Carolina
Eagle Examiner,Rocky Mount Academy,Rocky Mount,North Carolina
The Rooster,Ronald W. Reagan High School,Pfafftown,North Carolina
The Spartan Shield,Sun Valley High School,Monroe,North Carolina
Cape Fear Voices/The Teen Scene,"Teen Scene, Inc",Leland,North Carolina
The Seahawk,UNC Wilmington,Wilmington,North Carolina
Forest Fire,Wake Forest-Rolesville High,Wake Forest,North Carolina
The Howler,Wakefield High School,Raleigh,North Carolina
Weddington Witness,Weddington High School,Matthews,North Carolina
The West Wind,West Brunswick High School,Shallotte,North Carolina
The Zephyr,West Forsyth High School,Clemmons,North Carolina
The Wildcats Post,West Johnston High School,Benson,North Carolina
HiHerald,Bismarck High School,Bismarck,North Dakota
The Talon,Davies High School,Fargo,North Dakota
The Scroll,Fargo North High School,Fargo,North Dakota
Sudhian,Fargo South High School,Fargo,North Dakota
Horace High School News,Horace High School,Horace,North Dakota
The Packer,West Fargo High School,West Fargo,North Dakota
The WHS Howl ,Williston High School,Williston,North Dakota
Swoop News,Aiken New Tech High School,Cincinnati,Ohio
The Hoban Visor,Archbishop Hoban High School,Akron,Ohio
Arts and College Post,Arts & College Preparatory Academy,Columbus,Ohio
The Beachcomber,Beachwood High School,Beachwood,Ohio
The Beacon,Beavercreek High School,Beavercreek,Ohio
The HyBreeze,Brecksville-Broadview Heights High School,Broadview Heights,Ohio
The Tatler,Celina High School,Celina,Ohio
Tiger Tales,Chagrin Falls Middle School,Chagrin Falls,Ohio
The Scroll,Cincinnati Country Day School,Cincinnati,Ohio
Crimsonian,Dover High School,Dover,Ohio
Cougar Prints,Edgewood High School,Trenton,Ohio
The Quill,Elder High School,Cincinnati,Ohio
Blue & Gold,Findlay High School,Findlay,Ohio
The Eagle,GlenOak High School,Canton,Ohio
Blue Ace Media,Granville High School,Granville,Ohio
Paw Print,Green High School,Green,Ohio
The Viking Views,Hoover High School,North Canton,Ohio
The Explorer,Hudson High School,Hudson,Ohio
The Jackson-Milton Journal ,Jackson-Milton High School,North Jackson,Ohio
The Pioneer Press,Jonathan Alder High School,Plain City,Ohio
The Knight Times,Kings High School,Kings Mills,Ohio
Digital Newspaper,Lake Local Schools,Uniontown,Ohio
The Bulldog Bulletin,Lakeview High School,Cortland,Ohio
Lakewood Times,Lakewood High School,Lakewood,Ohio
Spark,Lakota East High School,Liberty Township,Ohio
West Press,Lakota West High School,West Chester,Ohio
Eye of the Gale,Lancaster High School,Lancaster,Ohio
The Rocket Review,Lowellville High School,Lowellville,Ohio
The Warpath,Mariemont High School,Cincinnati,Ohio
The Paw Print,Mayfield High School,Cleveland,Ohio
The Wildcat Voice,Mayfield Middle School,Mayfield Heights,Ohio
Cardinal Nation,Mentor High School,Mentor,Ohio
Jacket Journal,Mount Vernon High School,Mount Vernon,Ohio
NMS Press,Niles Middle School,Niles,Ohio
Surge,Northmont High School,Clayton,Ohio
THE MANE,Notre Dame - Cathedral Latin,Chardon,Ohio
The Dome,Oakwood High School,Oakwood,Ohio
The Berlin Bulletin,Olentangy Berlin High School,Delaware,Ohio
The Beacon,Olentangy High School,Lewis Center,Ohio
The Cannon,Olentangy Liberty High School,Powell,Ohio
The Oyler Griffin,Oyler Community Learning Center,Cincinnati,Ohio
The Seminarian,Poland Seminary High School,Poland,Ohio
Lantern,Revere High School,Richfield,Ohio
Ross High Times,Ross High School,Hamilton,Ohio
The Talisman,Rutherford B. Hayes High School,Delaware,Ohio
The Shakerite,Shaker Heights High School,Shaker Heights,Ohio
The Courier,Solon High School,Solon,Ohio
The Edsman,St. Edward High School,Lakewood,Ohio
The Orbiter,Streetsboro High School,Streetsboro,Ohio
The Lantern,Strongsville High School,Strongsville,Ohio
The Student Prints,Struthers High School,Struthers,Ohio
The Leaf,Sycamore High School,Cincinnati,Ohio
The Student Prints,Sylvania Northview,Sylvania,Ohio
The Devils' Tale,Tallmadge High School,Tallmadge,Ohio
Canvass,The Seven Hills School,Cincinnati,Ohio
The Colonel,Theodore Roosevelt High School,Tallmadge,Ohio
TWHS News,Thomas Worthington High School,Worthington,Ohio
Bruin,Wadsworth High School,Wadsworth,Ohio
The Chatterbox,Walnut Hills High School,Cincinnati,Ohio
The Pioneer,Walsh Jesuit High School,Cuyahoga Falls,Ohio
The Cadence,Waverly City Schools,Waverly,Ohio
The Hook ,West Carrollton High School,West Carrollton,Ohio
Whirlwind,West Geauga,Chesterland,Ohio
The Odyssey,Westerville North High School,Westerville,Ohio
The Scribe,Westerville South High School,Westerville,Ohio
The Green & White,Westlake High School - OH,Westlake,Ohio
The Panther Press,Whitmer High School,Toledo,Ohio
The Paw Print,William Henry Harrison High School,Harrison,Ohio
Window 2 Woodmore,Woodmore High School,Elmore,Ohio
WKHS Media,Worthington Kilbourne High School,Columbus,Ohio
Y City News,Y City News,Zanesville,Ohio
The Cougar Call,Ada High School,Ada,Oklahoma
Chi Rhoan,Bishop McGuinness Catholic High School,Oklahoma City,Oklahoma
ArrowVision,Broken Arrow High School,Broken Arrow,Oklahoma
The Claw,Canton Public Schools,Canton,Oklahoma
Demondirect,Duncan Middle School,Duncan,Oklahoma
Husky Hot Spot,Edmond North High School,Edmond,Oklahoma
Ruff Draft,Edmond Public Schools,Edmond,Oklahoma
The Marionette,Harding Charter Preparatory High School,Oklahoma City,Oklahoma
The Paw Print,Howe High School,Howe,Oklahoma
The Stinger,Kingfisher High School,Kingfisher,Oklahoma
The Howl,Norman North High School,Norman,Oklahoma
The Pirate Log,Poteau High School,Poteau,Oklahoma
The Pirate Log,Putnam City High School,Oklahoma City,Oklahoma
The North Star,Putnam City North High School,Oklahoma City,Oklahoma
SFN News,Santa Fe High School,Edmond,Oklahoma
SaberCat News Live,Southmoore High School,Moore,Oklahoma
The Smilodon,Southmore High school,Moore,Oklahoma
The Insight,Yukon High School,Yukon ,Oklahoma
New Miller News,Yukon Middle School,Yukon,Oklahoma
The Rogue News,Ashland High School,Ashland,Oregon
Beaverton Hummer,Beaverton High School,Beaverton,Oregon
The Centennial Talon,Centennial High School,Portland,Oregon
The Clarion,Cleveland High School,Portland,Oregon
Tiller-Trail Times,Days Creek Charter School,Days Creek,Oregon
fghsnews,Forest Grove High School,Forest Grove,Oregon
The Argus ,Gresham High School,Gresham,Oregon
The Headlight,Ida B. Wells-Barnett High School,Portland,Oregon
Jesuit Chronicle,Jesuit High School,Portand,Oregon
The La Salle Falconer,La Salle Catholic College Preparatory,Milwaukie,Oregon
Lake Views,Lake Oswego High School,Lake Oswego,Oregon
The Cardinal Times,Lincoln High School,Portland,Oregon
The Marshfield Times,Marshfield High School,Coos Bay,Oregon
KMHS Radio ,Marshfield High School,Coos Bay,Oregon
The Oracle,McDaniel High School,Portland ,Oregon
The Peak,Mountainside High School,Beaverton,Oregon
The Elevator,Oregon City High School,Oregon City,Oregon
Voices of Roosevelt,Roosevelt High School,Portland,Oregon
Orange R,Roseburg High School,Roseburg,Oregon
Bruin Banner,Sam Barlow High School,Gresham,Oregon
The Compass,Schellenberg Center North Clackamas,Milwaukie,Oregon
The Summit Pinnacle,Summit High School,Bend,Oregon
The Student Voice Network,The Sustainable Learning Projects,Portland,Oregon
Hi Spots,Tigard High School,Tigard,Oregon
The Wolf,Tualatin High School,Tualatin,Oregon
The Whirlwind,West Albany High School,Albany,Oregon
wlhsNOW,West Linn High School,West Linn,Oregon
Titan Spectator ,West Salem High School,Salem,Oregon
Wilsonville Broadast Network,Wilsonville High School,Wilsonville,Oregon
The Warrior,Winston Middle School,Winston,Oregon
Tiger Time,Yamhill Carlton High School,Yamhill,Oregon
The Blue and White,Abington Friends School,Jenkintown,Pennsylvania
The Abingtonian,Abington Senior High School,Abington,Pennsylvania
The Colonial,Albert Gallatin High School,Uniontown,Pennsylvania
The Foreword,Allderdice High School,Pittsburgh,Pennsylvania
Mountain Echo,Altoona Area High School,Altoona,Pennsylvania
Livewire,Altoona Area Junior High School,Altoona,Pennsylvania
The Carroll Times,Archbishop John Carroll High School,Radnor,Pennsylvania
The Purbalite,Baldwin High School,Pittsburgh,Pennsylvania
The Hourglass,Baldwin School,Bryn Mawr,Pennsylvania
Red and White,Bellefonte Area High School,Bellefonte,Pennsylvania
The BluePrint,Bellwood-Antis High School,Bellwood,Pennsylvania
Hawk Eye,Bethel Park High School,Bethel Park,Pennsylvania
BSHS PawPrint,Big Spring High School,Newville,Pennsylvania
BASH Cub,Boyertown Area Senior High,Boyertown,Pennsylvania
Periscope,Carlisle Area High School,Carlisle,Pennsylvania
The Rambler,Cathedral Preparatory School,Erie,Pennsylvania
The Patriot Newspaper ,Central Bucks High School East,Doylestown,Pennsylvania
Titan Tribune,Central Bucks High School South,Warrington,Pennsylvania
The Court Street Press,Central Bucks High School West,Doylestown,Pennsylvania
The Viking,Central Catholic High School,Pittsburgh,Pennsylvania
The Prowler,Central York High School,York,Pennsylvania
Citizens for Mullery,Citizens for Mullery,Nanticoke,Pennsylvania
The Stampede,Clearfield Area Junior Senior High School,Clearfield,Pennsylvania
The SPOKE,Conestoga High School,Berwyn,Pennsylvania
Beaver Tales,Corry Middle High School,Corry,Pennsylvania
The Beacon,Dallastown Area High School,Dallastown,Pennsylvania
Del.Aware,Delaware Valley High School,Milford,Pennsylvania
DVMS Warrior News,Delaware Valley Middle School,Milford,Pennsylvania
The Station,Derry Area High School,Derry,Pennsylvania
Dover Dispatch,Dover Area High School,Dover,Pennsylvania
The Downingtown East Record,Downingtown East High School,Exton,Pennsylvania
The Stinger,Emmaus High School,Emmaus,Pennsylvania
The Flash FLC,Franklin Learning Center,Philadelphia,Pennsylvania
The Panther Newspaper,Franklin Regional High School,Murrysville,Pennsylvania
FHS Press,Freedom Area High School,Freedom,Pennsylvania
Bulldog Barker,Freedom Area Middle School,Freedom,Pennsylvania
The Falcon,Friends Select School,Philadelphia,Pennsylvania
The High Post,Greater Latrobe Senior High School,Latrobe,Pennsylvania
The GNA Insider,Greater Nanticoke Area High School,Nanticoke,Pennsylvania
Mercy Magnet,Gwynedd Mercy Academy High School,Lower Gwynedd ,Pennsylvania
Hawk Happenings,Hamburg Area High School,Hamburg,Pennsylvania
The Harriton Banner,Harriton High School,Rosemont,Pennsylvania
The Hat Chat,Hatboro-Horsham HIgh School,Horsham,Pennsylvania
The Fordian,Haverford High School,Havertown,Pennsylvania
The Royal,Hempfield Area High School,Greensburg,Pennsylvania
Knights' Standard,Hempfield High School,Landisville,Pennsylvania
The Broadcaster,Hershey High School,Hershey,Pennsylvania
The Rocket Flame,James Buchanan High School,Mercersburg,Pennsylvania
Rocket Reporter,Jefferson-Morgan School District,Jefferson,Pennsylvania
KD News,Kennard-Dale High School,Fawn Grove,Pennsylvania
The Knight Times,Knoch High School,Saxonburg,Pennsylvania
The SIREN,Lincoln Park Performing Arts Charter School,MIDLAND,Pennsylvania
The Falcon Flash,Lower Dauphin High School,Hummelstown,Pennsylvania
The Merionite,Lower Merion High School,Ardmore,Pennsylvania
The Lion's Roar,Lower Moreland High School,Huntingdon Valley,Pennsylvania
Friar's Lantern,Malvern Preparatory School,Malvern,Pennsylvania
Blue Streak News Online,Manheim Township High School,Lancaster,Pennsylvania
The Stinger,Marion Center Area High School,Marion Center ,Pennsylvania
The Bark ,Meadville Area Senior High School,Meadville,Pennsylvania
Ricordia,Merion Mercy Academy,Merion Station,Pennsylvania
The Windy Hill,Methacton High School,Norristown,Pennsylvania
The Panther Press,Milton High School,Milton,Pennsylvania
The Arrow,MOHAWK HIGH SCHOOL - PA,Bessemer,Pennsylvania
MAHS Multimedia,Moon Area High School,Moon Township,Pennsylvania
The Campanile,Mount Saint Joseph Academy,Flourtown,Pennsylvania
The Nazareth,Nazareth Academy High School,Philadelphia,Pennsylvania
The Playwickian,Neshaminy High School,Langhorne,Pennsylvania
Eye of the Hurricane,New Castle Senior High School,New Castle ,Pennsylvania
The Blue & White,Newport High School,Newport,Pennsylvania
The Wingspan,Norristown Area High School,Norristown,Pennsylvania
NA Eye,North Allegheny Intermediate High School,Pittsburgh,Pennsylvania
The Uproar,North Allegheny Senior High School,Wexford,Pennsylvania
The Arrowhead,North Hills High School,Pittsburgh,Pennsylvania
